name,description,BattleIQ,Intelligence,Durability,FIT_FOR,AGILITY,TYPE
#1,A META WAIFU,64%,80%,103%,catGirl,31%,Volatile
#2,A META WAIFU,23%,37%,16%,rom-com,88%,Dandere
#3,A META WAIFU,94%,113%,89%,rom-com,80%,Idol Singer
#4,A META WAIFU,82%,94%,36%,kodomomuke,66%,Dominant
#5,A META WAIFU,49%,53%,40%,Ecchi,68%,Dandere
#6,A META WAIFU,78%,50%,92%,Action,58%,Yandere
#7,A META WAIFU,95%,94%,45%,Harem,24%,Meganekko
#8,A META WAIFU,30%,25%,60%,catGirl,40%,Catgirl
#9,A META WAIFU,74%,29%,94%,Action,65%,Catgirl
#10,A META WAIFU,37%,88%,110%,Ecchi,19%,Catgirl
#11,A META WAIFU,109%,41%,36%,Action,51%,Kuudere
#12,A META WAIFU,105%,38%,54%,rom-com,52%,Otaku
#13,A META WAIFU,56%,101%,109%,Ecchi,92%,Varient
#14,A META WAIFU,75%,75%,35%,rom-com,41%,Meganekko
#15,A META WAIFU,46%,40%,66%,rom-com,23%,Meganekko
#16,A META WAIFU,16%,73%,83%,Shoujo,94%,Catgirl
#17,A META WAIFU,92%,85%,31%,rom-com,100%,Meganekko
#18,A META WAIFU,60%,111%,95%,Harem,74%,Meganekko
#19,A META WAIFU,91%,20%,54%,catGirl,30%,Dominant
#20,A META WAIFU,97%,49%,82%,kodomomuke,43%,Catgirl
#21,A META WAIFU,34%,48%,75%,catGirl,66%,Idol Singer
#22,A META WAIFU,36%,33%,46%,Harem,41%,Dominant
#23,A META WAIFU,31%,60%,49%,rom-com,85%,Kuudere
#24,A META WAIFU,110%,55%,92%,LAB,95%,Volatile
#25,A META WAIFU,83%,99%,32%,rom-com,31%,Volatile
#26,A META WAIFU,33%,103%,22%,LAB,41%,Otaku
#27,A META WAIFU,17%,52%,114%,rom-com,70%,Tsundere
#28,A META WAIFU,62%,63%,84%,kodomomuke,115%,Dandere
#29,A META WAIFU,79%,61%,98%,Harem,104%,Maid
#30,A META WAIFU,95%,49%,50%,LAB,110%,Moekko
#31,A META WAIFU,109%,115%,64%,kodomomuke,73%,Varient
#32,A META WAIFU,27%,90%,30%,LAB,76%,Meganekko
#33,A META WAIFU,22%,90%,53%,rom-com,34%,Dandere
#34,A META WAIFU,61%,72%,56%,Ecchi,52%,Volatile
#35,A META WAIFU,88%,45%,53%,Shoujo,16%,Moekko
#36,A META WAIFU,86%,26%,55%,Harem,98%,Otaku
#37,A META WAIFU,30%,32%,45%,LAB,74%,Tsundere
#38,A META WAIFU,113%,76%,65%,kodomomuke,111%,Tsundere
#39,A META WAIFU,94%,110%,17%,kodomomuke,63%,Meganekko
#40,A META WAIFU,73%,84%,74%,kodomomuke,31%,Catgirl
#41,A META WAIFU,104%,95%,83%,Shoujo,107%,Otaku
#42,A META WAIFU,58%,111%,93%,Harem,97%,Meganekko
#43,A META WAIFU,52%,107%,38%,Shoujo,28%,Dominant
#44,A META WAIFU,64%,115%,87%,kodomomuke,100%,Volatile
#45,A META WAIFU,17%,70%,49%,Ecchi,96%,Moekko
#46,A META WAIFU,87%,57%,86%,Shoujo,104%,Volatile
#47,A META WAIFU,110%,18%,111%,Action,48%,Dandere
#48,A META WAIFU,74%,53%,70%,Ecchi,19%,Dominant
#49,A META WAIFU,86%,27%,88%,Shoujo,42%,Moekko
#50,A META WAIFU,104%,79%,89%,kodomomuke,67%,Dominant
#51,A META WAIFU,113%,25%,20%,Action,37%,Otaku
#52,A META WAIFU,84%,28%,62%,LAB,83%,Maid
#53,A META WAIFU,78%,110%,112%,LAB,19%,Dominant
#54,A META WAIFU,83%,72%,26%,Action,27%,Maid
#55,A META WAIFU,87%,96%,51%,kodomomuke,18%,Yandere
#56,A META WAIFU,91%,59%,107%,Ecchi,22%,Kuudere
#57,A META WAIFU,89%,110%,72%,rom-com,64%,Meganekko
#58,A META WAIFU,77%,29%,18%,LAB,70%,Dandere
#59,A META WAIFU,95%,66%,80%,Shoujo,113%,Otaku
#60,A META WAIFU,92%,87%,62%,LAB,93%,Otaku
#61,A META WAIFU,88%,105%,110%,Action,74%,Dominant
#62,A META WAIFU,17%,82%,27%,catGirl,35%,Meganekko
#63,A META WAIFU,64%,99%,110%,LAB,56%,Idol Singer
#64,A META WAIFU,28%,73%,93%,rom-com,36%,Kuudere
#65,A META WAIFU,95%,98%,37%,Shoujo,40%,Yandere
#66,A META WAIFU,96%,23%,45%,rom-com,103%,Tsundere
#67,A META WAIFU,38%,18%,112%,Ecchi,114%,Maid
#68,A META WAIFU,44%,60%,113%,kodomomuke,97%,Otaku
#69,A META WAIFU,26%,39%,66%,rom-com,54%,Otaku
#70,A META WAIFU,104%,30%,50%,rom-com,53%,Varient
#71,A META WAIFU,65%,89%,96%,rom-com,33%,Kuudere
#72,A META WAIFU,24%,73%,25%,Ecchi,28%,Otaku
#73,A META WAIFU,18%,47%,61%,Action,93%,Yandere
#74,A META WAIFU,22%,27%,99%,kodomomuke,43%,Dandere
#75,A META WAIFU,25%,51%,33%,LAB,108%,Kuudere
#76,A META WAIFU,23%,36%,73%,Ecchi,31%,Volatile
#77,A META WAIFU,95%,104%,89%,Ecchi,78%,Idol Singer
#78,A META WAIFU,113%,102%,51%,Shoujo,84%,Kuudere
#79,A META WAIFU,94%,30%,74%,LAB,49%,Meganekko
#80,A META WAIFU,73%,32%,49%,LAB,37%,Catgirl
#81,A META WAIFU,108%,38%,48%,Action,49%,Meganekko
#82,A META WAIFU,72%,36%,56%,Action,75%,Dominant
#83,A META WAIFU,78%,81%,50%,LAB,57%,Maid
#84,A META WAIFU,93%,50%,80%,kodomomuke,101%,Moekko
#85,A META WAIFU,113%,96%,51%,kodomomuke,71%,Tsundere
#86,A META WAIFU,59%,105%,87%,Ecchi,40%,Volatile
#87,A META WAIFU,66%,79%,43%,catGirl,65%,Dandere
#88,A META WAIFU,101%,40%,63%,Ecchi,115%,Dominant
#89,A META WAIFU,63%,100%,32%,LAB,108%,Varient
#90,A META WAIFU,114%,93%,114%,rom-com,36%,Dandere
#91,A META WAIFU,77%,97%,76%,Harem,45%,Volatile
#92,A META WAIFU,66%,34%,42%,Ecchi,53%,Yandere
#93,A META WAIFU,23%,77%,74%,Harem,54%,Kuudere
#94,A META WAIFU,23%,57%,21%,Ecchi,54%,Volatile
#95,A META WAIFU,37%,72%,114%,Action,43%,Volatile
#96,A META WAIFU,110%,53%,79%,rom-com,112%,Volatile
#97,A META WAIFU,73%,28%,84%,kodomomuke,113%,Meganekko
#98,A META WAIFU,61%,97%,72%,kodomomuke,58%,Dominant
#99,A META WAIFU,21%,87%,66%,Ecchi,94%,Moekko
#100,A META WAIFU,48%,65%,50%,Action,83%,Meganekko
#101,A META WAIFU,87%,91%,74%,rom-com,71%,Tsundere
#102,A META WAIFU,87%,41%,110%,Ecchi,83%,Idol Singer
#103,A META WAIFU,30%,24%,20%,rom-com,51%,Volatile
#104,A META WAIFU,20%,86%,70%,Harem,91%,Moekko
#105,A META WAIFU,34%,67%,33%,Shoujo,56%,Moekko
#106,A META WAIFU,95%,86%,107%,Harem,40%,Otaku
#107,A META WAIFU,48%,42%,32%,Ecchi,83%,Idol Singer
#108,A META WAIFU,109%,52%,53%,LAB,42%,Yandere
#109,A META WAIFU,66%,16%,110%,kodomomuke,45%,Idol Singer
#110,A META WAIFU,107%,47%,109%,Harem,80%,Dandere
#111,A META WAIFU,82%,56%,92%,kodomomuke,83%,Dandere
#112,A META WAIFU,37%,104%,89%,catGirl,59%,Meganekko
#113,A META WAIFU,46%,102%,94%,rom-com,68%,Kuudere
#114,A META WAIFU,43%,96%,27%,Action,113%,Moekko
#115,A META WAIFU,77%,63%,89%,rom-com,91%,Otaku
#116,A META WAIFU,100%,21%,42%,Action,17%,Otaku
#117,A META WAIFU,76%,31%,53%,LAB,96%,Kuudere
#118,A META WAIFU,84%,67%,78%,catGirl,58%,Dandere
#119,A META WAIFU,34%,69%,36%,Action,113%,Idol Singer
#120,A META WAIFU,101%,107%,114%,Action,95%,Yandere
#121,A META WAIFU,71%,74%,48%,catGirl,54%,Dominant
#122,A META WAIFU,48%,93%,80%,Shoujo,106%,Dominant
#123,A META WAIFU,105%,26%,111%,Shoujo,74%,Dandere
#124,A META WAIFU,110%,37%,30%,Action,15%,Otaku
#125,A META WAIFU,110%,40%,36%,Harem,114%,Moekko
#126,A META WAIFU,44%,111%,64%,Harem,45%,Dominant
